Financial Year,geography_code,Savings and Investments of Adults in the Family of the Individual,income_status,value,variable_name
2021-22,E12000003,"£3,000 but less than £8,000",Not in low income (at or above threshold),572597.0,population
2021-22,E12000003,"£8,000 but less than £10,000",Not in low income (at or above threshold),120913.0,population
1994-95,E12000001,"Less than £1,500",In low income (below threshold),98385.0,population
1994-95,E12000001,No savings,In low income (below threshold),352487.0,population
1994-95,E12000001,"£1,500 but less than £3,000",In low income (below threshold),44756.0,population
1994-95,E12000001,"£10,000 but less than £16,000",In low income (below threshold),16485.0,population
1994-95,E12000001,"£16,000 but less than £20,000",In low income (below threshold),4815.0,population
1994-95,E12000001,"£20,000 or more",In low income (below threshold),13066.0,population
1994-95,E12000001,"£3,000 but less than £8,000",In low income (below threshold),40702.0,population
1994-95,E12000001,"£8,000 but less than £10,000",In low income (below threshold),8638.0,population
1994-95,E12000002,"Less than £1,500",In low income (below threshold),215539.0,population
1994-95,E12000002,No savings,In low income (below threshold),886247.0,population
1994-95,E12000002,"£1,500 but less than £3,000",In low income (below threshold),79686.0,population
1994-95,E12000002,"£10,000 but less than £16,000",In low income (below threshold),35030.0,population
1994-95,E12000002,"£16,000 but less than £20,000",In low income (below threshold),20103.0,population
1994-95,E12000002,"£20,000 or more",In low income (below threshold),49442.0,population
1994-95,E12000002,"£3,000 but less than £8,000",In low income (below threshold),139493.0,population
1994-95,E12000002,"£8,000 but less than £10,000",In low income (below threshold),18870.0,population
1994-95,E12000003,"Less than £1,500",In low income (below threshold),141778.0,population
1994-95,E12000003,No savings,In low income (below threshold),681125.0,population
1994-95,E12000003,"£1,500 but less than £3,000",In low income (below threshold),77204.0,population
1994-95,E12000003,"£10,000 but less than £16,000",In low income (below threshold),45371.0,population
1994-95,E12000003,"£16,000 but less than £20,000",In low income (below threshold),14757.0,population
1994-95,E12000003,"£20,000 or more",In low income (below threshold),53891.0,population
1994-95,E12000003,"£3,000 but less than £8,000",In low income (below threshold),108023.0,population
1994-95,E12000003,"£8,000 but less than £10,000",In low income (below threshold),17676.0,population
1995-96,E12000001,"Less than £1,500",In low income (below threshold),81289.0,population
1995-96,E12000001,No savings,In low income (below threshold),434873.0,population
1995-96,E12000001,"£1,500 but less than £3,000",In low income (below threshold),28911.0,population
1995-96,E12000001,"£10,000 but less than £16,000",In low income (below threshold),15241.0,population
1995-96,E12000001,"£16,000 but less than £20,000",In low income (below threshold),4775.0,population
1995-96,E12000001,"£20,000 or more",In low income (below threshold),21252.0,population
1995-96,E12000001,"£3,000 but less than £8,000",In low income (below threshold),49866.0,population
1995-96,E12000001,"£8,000 but less than £10,000",In low income (below threshold),640.0,population
1995-96,E12000002,"Less than £1,500",In low income (below threshold),187097.0,population
1995-96,E12000002,No savings,In low income (below threshold),802379.0,population
1995-96,E12000002,"£1,500 but less than £3,000",In low income (below threshold),73288.0,population
1995-96,E12000002,"£10,000 but less than £16,000",In low income (below threshold),32616.0,population
1995-96,E12000002,"£16,000 but less than £20,000",In low income (below threshold),8256.0,population
1995-96,E12000002,"£20,000 or more",In low income (below threshold),43281.0,population
1995-96,E12000002,"£3,000 but less than £8,000",In low income (below threshold),92456.0,population
1995-96,E12000002,"£8,000 but less than £10,000",In low income (below threshold),28746.0,population
1995-96,E12000003,"Less than £1,500",In low income (below threshold),159386.0,population
1995-96,E12000003,No savings,In low income (below threshold),678016.0,population
1995-96,E12000003,"£1,500 but less than £3,000",In low income (below threshold),57398.0,population
1995-96,E12000003,"£10,000 but less than £16,000",In low income (below threshold),31429.0,population
1995-96,E12000003,"£16,000 but less than £20,000",In low income (below threshold),17086.0,population
1995-96,E12000003,"£20,000 or more",In low income (below threshold),35325.0,population
1995-96,E12000003,"£3,000 but less than £8,000",In low income (below threshold),69333.0,population
1995-96,E12000003,"£8,000 but less than £10,000",In low income (below threshold),19740.0,population
1996-97,E12000001,"Less than £1,500",In low income (below threshold),101565.0,population
1996-97,E12000001,No savings,In low income (below threshold),413972.0,population
1996-97,E12000001,"£1,500 but less than £3,000",In low income (below threshold),19927.0,population
1996-97,E12000001,"£10,000 but less than £16,000",In low income (below threshold),13674.0,population
1996-97,E12000001,"£16,000 but less than £20,000",In low income (below threshold),11998.0,population
1996-97,E12000001,"£20,000 or more",In low income (below threshold),10925.0,population
1996-97,E12000001,"£3,000 but less than £8,000",In low income (below threshold),33623.0,population
1996-97,E12000001,"£8,000 but less than £10,000",In low income (below threshold),3874.0,population
1996-97,E12000002,"Less than £1,500",In low income (below threshold),236957.0,population
1996-97,E12000002,No savings,In low income (below threshold),992232.0,population
1996-97,E12000002,"£1,500 but less than £3,000",In low income (below threshold),38485.0,population
1996-97,E12000002,"£10,000 but less than £16,000",In low income (below threshold),29733.0,population
1996-97,E12000002,"£16,000 but less than £20,000",In low income (below threshold),13186.0,population
1996-97,E12000002,"£20,000 or more",In low income (below threshold),32905.0,population
1996-97,E12000002,"£3,000 but less than £8,000",In low income (below threshold),98812.0,population
1996-97,E12000002,"£8,000 but less than £10,000",In low income (below threshold),12497.0,population
1996-97,E12000003,"Less than £1,500",In low income (below threshold),197385.0,population
1996-97,E12000003,No savings,In low income (below threshold),675290.0,population
1996-97,E12000003,"£1,500 but less than £3,000",In low income (below threshold),46750.0,population
1996-97,E12000003,"£10,000 but less than £16,000",In low income (below threshold),33067.0,population
1996-97,E12000003,"£16,000 but less than £20,000",In low income (below threshold),9538.0,population
1996-97,E12000003,"£20,000 or more",In low income (below threshold),57051.0,population
1996-97,E12000003,"£3,000 but less than £8,000",In low income (below threshold),67225.0,population
1996-97,E12000003,"£8,000 but less than £10,000",In low income (below threshold),18943.0,population
1997-98,E12000001,"Less than £1,500",In low income (below threshold),114201.0,population
1997-98,E12000001,No savings,In low income (below threshold),404953.0,population
1997-98,E12000001,"£1,500 but less than £3,000",In low income (below threshold),33710.0,population
1997-98,E12000001,"£10,000 but less than £16,000",In low income (below threshold),8696.0,population
1997-98,E12000001,"£16,000 but less than £20,000",In low income (below threshold),5015.0,population
1997-98,E12000001,"£20,000 or more",In low income (below threshold),11045.0,population
1997-98,E12000001,"£3,000 but less than £8,000",In low income (below threshold),22726.0,population
1997-98,E12000001,"£8,000 but less than £10,000",In low income (below threshold),8730.0,population
1997-98,E12000002,"Less than £1,500",In low income (below threshold),210998.0,population
1997-98,E12000002,No savings,In low income (below threshold),978477.0,population
1997-98,E12000002,"£1,500 but less than £3,000",In low income (below threshold),74138.0,population
1997-98,E12000002,"£10,000 but less than £16,000",In low income (below threshold),14439.0,population
1997-98,E12000002,"£16,000 but less than £20,000",In low income (below threshold),10756.0,population
1997-98,E12000002,"£20,000 or more",In low income (below threshold),49418.0,population
1997-98,E12000002,"£3,000 but less than £8,000",In low income (below threshold),115449.0,population
1997-98,E12000002,"£8,000 but less than £10,000",In low income (below threshold),26793.0,population
1997-98,E12000003,"Less than £1,500",In low income (below threshold),194980.0,population
1997-98,E12000003,No savings,In low income (below threshold),677642.0,population
1997-98,E12000003,"£1,500 but less than £3,000",In low income (below threshold),54121.0,population
1997-98,E12000003,"£10,000 but less than £16,000",In low income (below threshold),27197.0,population
1997-98,E12000003,"£16,000 but less than £20,000",In low income (below threshold),13303.0,population
1997-98,E12000003,"£20,000 or more",In low income (below threshold),40054.0,population
1997-98,E12000003,"£3,000 but less than £8,000",In low income (below threshold),80712.0,population
1997-98,E12000003,"£8,000 but less than £10,000",In low income (below threshold),24186.0,population
1998-99,E12000001,"Less than £1,500",In low income (below threshold),112525.0,population
1998-99,E12000001,No savings,In low income (below threshold),458504.0,population
1998-99,E12000001,"£1,500 but less than £3,000",In low income (below threshold),18070.0,population
1998-99,E12000001,"£10,000 but less than £16,000",In low income (below threshold),21029.0,population
1998-99,E12000001,"£16,000 but less than £20,000",In low income (below threshold),3744.0,population
1998-99,E12000001,"£20,000 or more",In low income (below threshold),10713.0,population
1998-99,E12000001,"£3,000 but less than £8,000",In low income (below threshold),27839.0,population
1998-99,E12000001,"£8,000 but less than £10,000",In low income (below threshold),9064.0,population
1998-99,E12000002,"Less than £1,500",In low income (below threshold),299766.0,population
1998-99,E12000002,No savings,In low income (below threshold),974252.0,population
1998-99,E12000002,"£1,500 but less than £3,000",In low income (below threshold),83665.0,population
1998-99,E12000002,"£10,000 but less than £16,000",In low income (below threshold),39682.0,population
1998-99,E12000002,"£16,000 but less than £20,000",In low income (below threshold),21832.0,population
1998-99,E12000002,"£20,000 or more",In low income (below threshold),56534.0,population
1998-99,E12000002,"£3,000 but less than £8,000",In low income (below threshold),97460.0,population
1998-99,E12000002,"£8,000 but less than £10,000",In low income (below threshold),22719.0,population
1998-99,E12000003,"Less than £1,500",In low income (below threshold),238411.0,population
1998-99,E12000003,No savings,In low income (below threshold),711241.0,population
1998-99,E12000003,"£1,500 but less than £3,000",In low income (below threshold),66882.0,population
1998-99,E12000003,"£10,000 but less than £16,000",In low income (below threshold),35068.0,population
1998-99,E12000003,"£16,000 but less than £20,000",In low income (below threshold),14455.0,population
1998-99,E12000003,"£20,000 or more",In low income (below threshold),22947.0,population
1998-99,E12000003,"£3,000 but less than £8,000",In low income (below threshold),83729.0,population
1998-99,E12000003,"£8,000 but less than £10,000",In low income (below threshold),14894.0,population
1999-00,E12000001,"Less than £1,500",In low income (below threshold),120266.0,population
1999-00,E12000001,No savings,In low income (below threshold),428888.0,population
1999-00,E12000001,"£1,500 but less than £3,000",In low income (below threshold),23968.0,population
1999-00,E12000001,"£10,000 but less than £16,000",In low income (below threshold),11637.0,population
1999-00,E12000001,"£16,000 but less than £20,000",In low income (below threshold),0.0,population
1999-00,E12000001,"£20,000 or more",In low income (below threshold),13020.0,population
1999-00,E12000001,"£3,000 but less than £8,000",In low income (below threshold),51706.0,population
1999-00,E12000001,"£8,000 but less than £10,000",In low income (below threshold),5645.0,population
1999-00,E12000002,"Less than £1,500",In low income (below threshold),309299.0,population
1999-00,E12000002,No savings,In low income (below threshold),814216.0,population
1999-00,E12000002,"£1,500 but less than £3,000",In low income (below threshold),46810.0,population
1999-00,E12000002,"£10,000 but less than £16,000",In low income (below threshold),30045.0,population
1999-00,E12000002,"£16,000 but less than £20,000",In low income (below threshold),19233.0,population
1999-00,E12000002,"£20,000 or more",In low income (below threshold),49641.0,population
1999-00,E12000002,"£3,000 but less than £8,000",In low income (below threshold),112151.0,population
1999-00,E12000002,"£8,000 but less than £10,000",In low income (below threshold),27474.0,population
1999-00,E12000003,"Less than £1,500",In low income (below threshold),254346.0,population
1999-00,E12000003,No savings,In low income (below threshold),630275.0,population
1999-00,E12000003,"£1,500 but less than £3,000",In low income (below threshold),68862.0,population
1999-00,E12000003,"£10,000 but less than £16,000",In low income (below threshold),22954.0,population
1999-00,E12000003,"£16,000 but less than £20,000",In low income (below threshold),19394.0,population
1999-00,E12000003,"£20,000 or more",In low income (below threshold),40510.0,population
1999-00,E12000003,"£3,000 but less than £8,000",In low income (below threshold),69160.0,population
1999-00,E12000003,"£8,000 but less than £10,000",In low income (below threshold),13346.0,population
2000-01,E12000001,"Less than £1,500",In low income (below threshold),113723.0,population
2000-01,E12000001,No savings,In low income (below threshold),425188.0,population
2000-01,E12000001,"£1,500 but less than £3,000",In low income (below threshold),14922.0,population
2000-01,E12000001,"£10,000 but less than £16,000",In low income (below threshold),7545.0,population
2000-01,E12000001,"£16,000 but less than £20,000",In low income (below threshold),9621.0,population
2000-01,E12000001,"£20,000 or more",In low income (below threshold),6820.0,population
2000-01,E12000001,"£3,000 but less than £8,000",In low income (below threshold),29144.0,population
2000-01,E12000001,"£8,000 but less than £10,000",In low income (below threshold),8496.0,population
2000-01,E12000002,"Less than £1,500",In low income (below threshold),300570.0,population
2000-01,E12000002,No savings,In low income (below threshold),735748.0,population
2000-01,E12000002,"£1,500 but less than £3,000",In low income (below threshold),62741.0,population
2000-01,E12000002,"£10,000 but less than £16,000",In low income (below threshold),26896.0,population
2000-01,E12000002,"£16,000 but less than £20,000",In low income (below threshold),15184.0,population
2000-01,E12000002,"£20,000 or more",In low income (below threshold),68203.0,population
2000-01,E12000002,"£3,000 but less than £8,000",In low income (below threshold),110520.0,population
2000-01,E12000002,"£8,000 but less than £10,000",In low income (below threshold),21405.0,population
2000-01,E12000003,"Less than £1,500",In low income (below threshold),203573.0,population
2000-01,E12000003,No savings,In low income (below threshold),573522.0,population
2000-01,E12000003,"£1,500 but less than £3,000",In low income (below threshold),59436.0,population
2000-01,E12000003,"£10,000 but less than £16,000",In low income (below threshold),30607.0,population
2000-01,E12000003,"£16,000 but less than £20,000",In low income (below threshold),9709.0,population
2000-01,E12000003,"£20,000 or more",In low income (below threshold),48994.0,population
2000-01,E12000003,"£3,000 but less than £8,000",In low income (below threshold),67558.0,population
2000-01,E12000003,"£8,000 but less than £10,000",In low income (below threshold),17243.0,population
2001-02,E12000001,"Less than £1,500",In low income (below threshold),99199.0,population
2001-02,E12000001,No savings,In low income (below threshold),318275.0,population
2001-02,E12000001,"£1,500 but less than £3,000",In low income (below threshold),28264.0,population
2001-02,E12000001,"£10,000 but less than £16,000",In low income (below threshold),15648.0,population
2001-02,E12000001,"£16,000 but less than £20,000",In low income (below threshold),7008.0,population
2001-02,E12000001,"£20,000 or more",In low income (below threshold),12686.0,population
2001-02,E12000001,"£3,000 but less than £8,000",In low income (below threshold),42411.0,population
2001-02,E12000001,"£8,000 but less than £10,000",In low income (below threshold),9552.0,population
2001-02,E12000002,"Less than £1,500",In low income (below threshold),255483.0,population
2001-02,E12000002,No savings,In low income (below threshold),844218.0,population
2001-02,E12000002,"£1,500 but less than £3,000",In low income (below threshold),62084.0,population
2001-02,E12000002,"£10,000 but less than £16,000",In low income (below threshold),38608.0,population
2001-02,E12000002,"£16,000 but less than £20,000",In low income (below threshold),13971.0,population
2001-02,E12000002,"£20,000 or more",In low income (below threshold),47866.0,population
2001-02,E12000002,"£3,000 but less than £8,000",In low income (below threshold),118060.0,population
2001-02,E12000002,"£8,000 but less than £10,000",In low income (below threshold),19216.0,population
2001-02,E12000003,"Less than £1,500",In low income (below threshold),207460.0,population
2001-02,E12000003,No savings,In low income (below threshold),593181.0,population
2001-02,E12000003,"£1,500 but less than £3,000",In low income (below threshold),55969.0,population
2001-02,E12000003,"£10,000 but less than £16,000",In low income (below threshold),21338.0,population
2001-02,E12000003,"£16,000 but less than £20,000",In low income (below threshold),21806.0,population
2001-02,E12000003,"£20,000 or more",In low income (below threshold),35975.0,population
2001-02,E12000003,"£3,000 but less than £8,000",In low income (below threshold),96737.0,population
2001-02,E12000003,"£8,000 but less than £10,000",In low income (below threshold),17351.0,population
2002-03,E12000001,"Less than £1,500",In low income (below threshold),115438.0,population
2002-03,E12000001,No savings,In low income (below threshold),348923.0,population
2002-03,E12000001,"£1,500 but less than £3,000",In low income (below threshold),35591.0,population
2002-03,E12000001,"£10,000 but less than £16,000",In low income (below threshold),13101.0,population
2002-03,E12000001,"£16,000 but less than £20,000",In low income (below threshold),2234.0,population
2002-03,E12000001,"£20,000 or more",In low income (below threshold),19532.0,population
2002-03,E12000001,"£3,000 but less than £8,000",In low income (below threshold),39800.0,population
2002-03,E12000001,"£8,000 but less than £10,000",In low income (below threshold),9581.0,population
2002-03,E12000002,"Less than £1,500",In low income (below threshold),191198.0,population
2002-03,E12000002,No savings,In low income (below threshold),784997.0,population
2002-03,E12000002,"£1,500 but less than £3,000",In low income (below threshold),70393.0,population
2002-03,E12000002,"£10,000 but less than £16,000",In low income (below threshold),30652.0,population
2002-03,E12000002,"£16,000 but less than £20,000",In low income (below threshold),10432.0,population
2002-03,E12000002,"£20,000 or more",In low income (below threshold),51141.0,population
2002-03,E12000002,"£3,000 but less than £8,000",In low income (below threshold),112145.0,population
2002-03,E12000002,"£8,000 but less than £10,000",In low income (below threshold),23735.0,population
2002-03,E12000003,"Less than £1,500",In low income (below threshold),182506.0,population
2002-03,E12000003,No savings,In low income (below threshold),497945.0,population
2002-03,E12000003,"£1,500 but less than £3,000",In low income (below threshold),72264.0,population
2002-03,E12000003,"£10,000 but less than £16,000",In low income (below threshold),33307.0,population
2002-03,E12000003,"£16,000 but less than £20,000",In low income (below threshold),13545.0,population
2002-03,E12000003,"£20,000 or more",In low income (below threshold),37417.0,population
2002-03,E12000003,"£3,000 but less than £8,000",In low income (below threshold),97816.0,population
2002-03,E12000003,"£8,000 but less than £10,000",In low income (below threshold),14388.0,population
2003-04,E12000001,"Less than £1,500",In low income (below threshold),95533.0,population
2003-04,E12000001,No savings,In low income (below threshold),307044.0,population
2003-04,E12000001,"£1,500 but less than £3,000",In low income (below threshold),19865.0,population
2003-04,E12000001,"£10,000 but less than £16,000",In low income (below threshold),19632.0,population
2003-04,E12000001,"£16,000 but less than £20,000",In low income (below threshold),5214.0,population
2003-04,E12000001,"£20,000 or more",In low income (below threshold),15130.0,population
2003-04,E12000001,"£3,000 but less than £8,000",In low income (below threshold),48801.0,population
2003-04,E12000001,"£8,000 but less than £10,000",In low income (below threshold),6699.0,population
2003-04,E12000002,"Less than £1,500",In low income (below threshold),194372.0,population
2003-04,E12000002,No savings,In low income (below threshold),774878.0,population
2003-04,E12000002,"£1,500 but less than £3,000",In low income (below threshold),62330.0,population
2003-04,E12000002,"£10,000 but less than £16,000",In low income (below threshold),36620.0,population
2003-04,E12000002,"£16,000 but less than £20,000",In low income (below threshold),14695.0,population
2003-04,E12000002,"£20,000 or more",In low income (below threshold),71072.0,population
2003-04,E12000002,"£3,000 but less than £8,000",In low income (below threshold),91038.0,population
2003-04,E12000002,"£8,000 but less than £10,000",In low income (below threshold),30876.0,population
2003-04,E12000003,"Less than £1,500",In low income (below threshold),202732.0,population
2003-04,E12000003,No savings,In low income (below threshold),509021.0,population
2003-04,E12000003,"£1,500 but less than £3,000",In low income (below threshold),38851.0,population
2003-04,E12000003,"£10,000 but less than £16,000",In low income (below threshold),44138.0,population
2003-04,E12000003,"£16,000 but less than £20,000",In low income (below threshold),12300.0,population
2003-04,E12000003,"£20,000 or more",In low income (below threshold),49736.0,population
2003-04,E12000003,"£3,000 but less than £8,000",In low income (below threshold),71819.0,population
2003-04,E12000003,"£8,000 but less than £10,000",In low income (below threshold),21010.0,population
2004-05,E12000001,"Less than £1,500",In low income (below threshold),89614.0,population
2004-05,E12000001,No savings,In low income (below threshold),344572.0,population
2004-05,E12000001,"£1,500 but less than £3,000",In low income (below threshold),18428.0,population
2004-05,E12000001,"£10,000 but less than £16,000",In low income (below threshold),12447.0,population
2004-05,E12000001,"£16,000 but less than £20,000",In low income (below threshold),13302.0,population
2004-05,E12000001,"£20,000 or more",In low income (below threshold),20041.0,population
2004-05,E12000001,"£3,000 but less than £8,000",In low income (below threshold),24408.0,population
2004-05,E12000001,"£8,000 but less than £10,000",In low income (below threshold),6534.0,population
2004-05,E12000002,"Less than £1,500",In low income (below threshold),249737.0,population
2004-05,E12000002,No savings,In low income (below threshold),717651.0,population
2004-05,E12000002,"£1,500 but less than £3,000",In low income (below threshold),41421.0,population
2004-05,E12000002,"£10,000 but less than £16,000",In low income (below threshold),27623.0,population
2004-05,E12000002,"£16,000 but less than £20,000",In low income (below threshold),17193.0,population
2004-05,E12000002,"£20,000 or more",In low income (below threshold),41021.0,population
2004-05,E12000002,"£3,000 but less than £8,000",In low income (below threshold),91418.0,population
2004-05,E12000002,"£8,000 but less than £10,000",In low income (below threshold),28022.0,population
2004-05,E12000003,"Less than £1,500",In low income (below threshold),209532.0,population
2004-05,E12000003,No savings,In low income (below threshold),469003.0,population
2004-05,E12000003,"£1,500 but less than £3,000",In low income (below threshold),36927.0,population
2004-05,E12000003,"£10,000 but less than £16,000",In low income (below threshold),18650.0,population
2004-05,E12000003,"£16,000 but less than £20,000",In low income (below threshold),11906.0,population
2004-05,E12000003,"£20,000 or more",In low income (below threshold),36490.0,population
2004-05,E12000003,"£3,000 but less than £8,000",In low income (below threshold),81456.0,population
2004-05,E12000003,"£8,000 but less than £10,000",In low income (below threshold),24655.0,population
2005-06,E12000001,"Less than £1,500",In low income (below threshold),78129.0,population
2005-06,E12000001,No savings,In low income (below threshold),338460.0,population
2005-06,E12000001,"£1,500 but less than £3,000",In low income (below threshold),13668.0,population
2005-06,E12000001,"£10,000 but less than £16,000",In low income (below threshold),10003.0,population
2005-06,E12000001,"£16,000 but less than £20,000",In low income (below threshold),6012.0,population
2005-06,E12000001,"£20,000 or more",In low income (below threshold),12399.0,population
2005-06,E12000001,"£3,000 but less than £8,000",In low income (below threshold),28761.0,population
2005-06,E12000001,"£8,000 but less than £10,000",In low income (below threshold),1611.0,population
2005-06,E12000002,"Less than £1,500",In low income (below threshold),228856.0,population
2005-06,E12000002,No savings,In low income (below threshold),787032.0,population
2005-06,E12000002,"£1,500 but less than £3,000",In low income (below threshold),59320.0,population
2005-06,E12000002,"£10,000 but less than £16,000",In low income (below threshold),64936.0,population
2005-06,E12000002,"£16,000 but less than £20,000",In low income (below threshold),23036.0,population
2005-06,E12000002,"£20,000 or more",In low income (below threshold),57326.0,population
2005-06,E12000002,"£3,000 but less than £8,000",In low income (below threshold),122796.0,population
2005-06,E12000002,"£8,000 but less than £10,000",In low income (below threshold),11656.0,population
2005-06,E12000003,"Less than £1,500",In low income (below threshold),174986.0,population
2005-06,E12000003,No savings,In low income (below threshold),594003.0,population
2005-06,E12000003,"£1,500 but less than £3,000",In low income (below threshold),40860.0,population
2005-06,E12000003,"£10,000 but less than £16,000",In low income (below threshold),33818.0,population
2005-06,E12000003,"£16,000 but less than £20,000",In low income (below threshold),8334.0,population
2005-06,E12000003,"£20,000 or more",In low income (below threshold),34743.0,population
2005-06,E12000003,"£3,000 but less than £8,000",In low income (below threshold),79284.0,population
2005-06,E12000003,"£8,000 but less than £10,000",In low income (below threshold),14371.0,population
2006-07,E12000001,"Less than £1,500",In low income (below threshold),111805.0,population
2006-07,E12000001,No savings,In low income (below threshold),300778.0,population
2006-07,E12000001,"£1,500 but less than £3,000",In low income (below threshold),21653.0,population
2006-07,E12000001,"£10,000 but less than £16,000",In low income (below threshold),11743.0,population
2006-07,E12000001,"£16,000 but less than £20,000",In low income (below threshold),16964.0,population
2006-07,E12000001,"£20,000 or more",In low income (below threshold),17094.0,population
2006-07,E12000001,"£3,000 but less than £8,000",In low income (below threshold),43964.0,population
2006-07,E12000001,"£8,000 but less than £10,000",In low income (below threshold),2208.0,population
2006-07,E12000002,"Less than £1,500",In low income (below threshold),255251.0,population
2006-07,E12000002,No savings,In low income (below threshold),871184.0,population
2006-07,E12000002,"£1,500 but less than £3,000",In low income (below threshold),39113.0,population
2006-07,E12000002,"£10,000 but less than £16,000",In low income (below threshold),45868.0,population
2006-07,E12000002,"£16,000 but less than £20,000",In low income (below threshold),24019.0,population
2006-07,E12000002,"£20,000 or more",In low income (below threshold),58900.0,population
2006-07,E12000002,"£3,000 but less than £8,000",In low income (below threshold),94572.0,population
2006-07,E12000002,"£8,000 but less than £10,000",In low income (below threshold),17433.0,population
2006-07,E12000003,"Less than £1,500",In low income (below threshold),152334.0,population
2006-07,E12000003,No savings,In low income (below threshold),560720.0,population
2006-07,E12000003,"£1,500 but less than £3,000",In low income (below threshold),44253.0,population
2006-07,E12000003,"£10,000 but less than £16,000",In low income (below threshold),49915.0,population
2006-07,E12000003,"£16,000 but less than £20,000",In low income (below threshold),22190.0,population
2006-07,E12000003,"£20,000 or more",In low income (below threshold),77545.0,population
2006-07,E12000003,"£3,000 but less than £8,000",In low income (below threshold),110174.0,population
2006-07,E12000003,"£8,000 but less than £10,000",In low income (below threshold),23478.0,population
2007-08,E12000001,"Less than £1,500",In low income (below threshold),116576.0,population
2007-08,E12000001,No savings,In low income (below threshold),358125.0,population
2007-08,E12000001,"£1,500 but less than £3,000",In low income (below threshold),4727.0,population
2007-08,E12000001,"£10,000 but less than £16,000",In low income (below threshold),17334.0,population
2007-08,E12000001,"£16,000 but less than £20,000",In low income (below threshold),7873.0,population
2007-08,E12000001,"£20,000 or more",In low income (below threshold),23211.0,population
2007-08,E12000001,"£3,000 but less than £8,000",In low income (below threshold),50171.0,population
2007-08,E12000001,"£8,000 but less than £10,000",In low income (below threshold),10277.0,population
2007-08,E12000002,"Less than £1,500",In low income (below threshold),256971.0,population
2007-08,E12000002,No savings,In low income (below threshold),874550.0,population
2007-08,E12000002,"£1,500 but less than £3,000",In low income (below threshold),70274.0,population
2007-08,E12000002,"£10,000 but less than £16,000",In low income (below threshold),51231.0,population
2007-08,E12000002,"£16,000 but less than £20,000",In low income (below threshold),14455.0,population
2007-08,E12000002,"£20,000 or more",In low income (below threshold),75835.0,population
2007-08,E12000002,"£3,000 but less than £8,000",In low income (below threshold),64500.0,population
2007-08,E12000002,"£8,000 but less than £10,000",In low income (below threshold),20135.0,population
2007-08,E12000003,"Less than £1,500",In low income (below threshold),197171.0,population
2007-08,E12000003,No savings,In low income (below threshold),567857.0,population
2007-08,E12000003,"£1,500 but less than £3,000",In low income (below threshold),44468.0,population
2007-08,E12000003,"£10,000 but less than £16,000",In low income (below threshold),40199.0,population
2007-08,E12000003,"£16,000 but less than £20,000",In low income (below threshold),13075.0,population
2007-08,E12000003,"£20,000 or more",In low income (below threshold),48613.0,population
2007-08,E12000003,"£3,000 but less than £8,000",In low income (below threshold),80778.0,population
2007-08,E12000003,"£8,000 but less than £10,000",In low income (below threshold),18543.0,population
2008-09,E12000001,"Less than £1,500",In low income (below threshold),100420.0,population
2008-09,E12000001,No savings,In low income (below threshold),310784.0,population
2008-09,E12000001,"£1,500 but less than £3,000",In low income (below threshold),23855.0,population
2008-09,E12000001,"£10,000 but less than £16,000",In low income (below threshold),18800.0,population
2008-09,E12000001,"£16,000 but less than £20,000",In low income (below threshold),17584.0,population
2008-09,E12000001,"£20,000 or more",In low income (below threshold),24894.0,population
2008-09,E12000001,"£3,000 but less than £8,000",In low income (below threshold),30937.0,population
2008-09,E12000001,"£8,000 but less than £10,000",In low income (below threshold),6423.0,population
2008-09,E12000002,"Less than £1,500",In low income (below threshold),201001.0,population
2008-09,E12000002,No savings,In low income (below threshold),771422.0,population
2008-09,E12000002,"£1,500 but less than £3,000",In low income (below threshold),50401.0,population
2008-09,E12000002,"£10,000 but less than £16,000",In low income (below threshold),50803.0,population
2008-09,E12000002,"£16,000 but less than £20,000",In low income (below threshold),10540.0,population
2008-09,E12000002,"£20,000 or more",In low income (below threshold),71885.0,population
2008-09,E12000002,"£3,000 but less than £8,000",In low income (below threshold),81725.0,population
2008-09,E12000002,"£8,000 but less than £10,000",In low income (below threshold),10742.0,population
2008-09,E12000003,"Less than £1,500",In low income (below threshold),193354.0,population
2008-09,E12000003,No savings,In low income (below threshold),608607.0,population
2008-09,E12000003,"£1,500 but less than £3,000",In low income (below threshold),58391.0,population
2008-09,E12000003,"£10,000 but less than £16,000",In low income (below threshold),53417.0,population
2008-09,E12000003,"£16,000 but less than £20,000",In low income (below threshold),10404.0,population
2008-09,E12000003,"£20,000 or more",In low income (below threshold),43333.0,population
2008-09,E12000003,"£3,000 but less than £8,000",In low income (below threshold),77358.0,population
2008-09,E12000003,"£8,000 but less than £10,000",In low income (below threshold),40262.0,population
2009-10,E12000001,"Less than £1,500",In low income (below threshold),98444.0,population
2009-10,E12000001,No savings,In low income (below threshold),284833.0,population
2009-10,E12000001,"£1,500 but less than £3,000",In low income (below threshold),17349.0,population
2009-10,E12000001,"£10,000 but less than £16,000",In low income (below threshold),6569.0,population
2009-10,E12000001,"£16,000 but less than £20,000",In low income (below threshold),5327.0,population
2009-10,E12000001,"£20,000 or more",In low income (below threshold),35300.0,population
2009-10,E12000001,"£3,000 but less than £8,000",In low income (below threshold),27944.0,population
2009-10,E12000001,"£8,000 but less than £10,000",In low income (below threshold),15841.0,population
2009-10,E12000002,"Less than £1,500",In low income (below threshold),180930.0,population
2009-10,E12000002,No savings,In low income (below threshold),785688.0,population
